,iso2,year,new_sp
871,CA,1980,951.0
872,CA,1981,803.0
873,CA,1982,812.0
874,CA,1983,771.0
875,CA,1984,811.0
876,CA,1985,791.0
877,CA,1986,752.0
878,CA,1987,668.0
879,CA,1988,682.0
880,CA,1989,652.0
881,CA,1990,549.0
882,CA,1991,543.0
883,CA,1992,506.0
884,CA,1993,488.0
885,CA,1994,483.0
886,CA,1995,436.0
887,CA,1996,430.0
888,CA,1997,473.0
889,CA,1998,438.0
890,CA,1999,455.0
891,CA,2000,492.0
892,CA,2001,458.0
893,CA,2002,408.0
894,CA,2003,332.0
895,CA,2004,438.0
896,CA,2005,433.0
897,CA,2006,407.0
898,CA,2007,463.0
899,CA,2008,488.0
