,iso2,year,new_sp_f2534
871,CA,1980,51.0
872,CA,1981,57.0
873,CA,1982,57.0
874,CA,1983,50.0
875,CA,1984,59.0
876,CA,1985,56.0
877,CA,1986,54.0
878,CA,1987,48.0
879,CA,1988,56.0
880,CA,1989,51.0
881,CA,1990,38.0
882,CA,1991,37.0
883,CA,1992,28.0
884,CA,1993,50.0
885,CA,1994,37.0
886,CA,1995,28.0
887,CA,1996,34.0
888,CA,1997,44.0
889,CA,1998,31.0
890,CA,1999,31.0
891,CA,2000,40.0
892,CA,2001,41.0
893,CA,2002,31.0
894,CA,2003,28.0
895,CA,2004,55.0
896,CA,2005,40.0
897,CA,2006,30.0
898,CA,2007,33.0
899,CA,2008,39.0
