,iso2,year,new_sp_m65
871,CA,1980,186.0
872,CA,1981,141.0
873,CA,1982,150.0
874,CA,1983,123.0
875,CA,1984,169.0
876,CA,1985,168.0
877,CA,1986,147.0
878,CA,1987,129.0
879,CA,1988,131.0
880,CA,1989,122.0
881,CA,1990,100.0
882,CA,1991,110.0
883,CA,1992,79.0
884,CA,1993,74.0
885,CA,1994,87.0
886,CA,1995,70.0
887,CA,1996,70.0
888,CA,1997,90.0
889,CA,1998,80.0
890,CA,1999,94.0
891,CA,2000,79.0
892,CA,2001,76.0
893,CA,2002,64.0
894,CA,2003,42.0
895,CA,2004,64.0
896,CA,2005,68.0
897,CA,2006,64.0
898,CA,2007,75.0
899,CA,2008,62.0
