,iso2,year,new_sp
2945,LK,1984,2608.0
2946,LK,1985,1935.0
2947,LK,1986,2360.0
2948,LK,1987,2557.0
2949,LK,1988,2764.0
2950,LK,1989,2474.0
2951,LK,1990,2769.0
2952,LK,1991,3023.0
2953,LK,1992,3218.0
2954,LK,1993,3335.0
2955,LK,1994,3405.0
2956,LK,1995,3049.0
2957,LK,1996,2958.0
2958,LK,1997,3506.0
2959,LK,1998,3761.0
2960,LK,1999,3911.0
2961,LK,2000,4314.0
2962,LK,2001,4316.0
2963,LK,2002,4297.0
2964,LK,2003,4321.0
2965,LK,2004,4302.0
2966,LK,2005,4868.0
2967,LK,2006,4442.0
2968,LK,2007,4528.0
2969,LK,2008,4683.0
