,iso2,year,new_sp
3353,MN,1980,0.0
3355,MN,1982,0.0
3356,MN,1983,0.0
3357,MN,1984,0.0
3358,MN,1985,0.0
3359,MN,1986,0.0
3360,MN,1987,0.0
3361,MN,1988,0.0
3362,MN,1989,0.0
3363,MN,1990,0.0
3365,MN,1992,0.0
3366,MN,1993,0.0
3367,MN,1994,145.0
3368,MN,1995,455.0
3369,MN,1996,769.0
3370,MN,1997,1171.0
3371,MN,1998,1356.0
3372,MN,1999,1513.0
3373,MN,2000,1389.0
3374,MN,2001,1631.0
3375,MN,2002,1670.0
3376,MN,2003,1541.0
3377,MN,2004,1808.0
3378,MN,2005,1868.0
3379,MN,2006,2129.0
3380,MN,2007,1856.0
3381,MN,2008,1838.0
