,iso2,year,new_sp
5270,TZ,1980,7391.0
5271,TZ,1981,7082.0
5272,TZ,1982,6382.0
5273,TZ,1983,6651.0
5274,TZ,1984,7520.0
5275,TZ,1985,8020.0
5276,TZ,1986,8560.0
5277,TZ,1987,9272.0
5278,TZ,1988,10038.0
5279,TZ,1989,10479.0
5280,TZ,1990,11553.0
5281,TZ,1991,12008.0
5282,TZ,1992,13510.0
5283,TZ,1993,15569.0
5284,TZ,1994,17164.0
5285,TZ,1995,19955.0
5286,TZ,1996,21472.0
5287,TZ,1997,22010.0
5288,TZ,1998,23726.0
5289,TZ,1999,24125.0
5290,TZ,2000,24049.0
5291,TZ,2001,24685.0
5292,TZ,2002,24136.0
5293,TZ,2003,24899.0
5294,TZ,2004,25823.0
5295,TZ,2005,25264.0
5296,TZ,2006,24724.0
5297,TZ,2007,24520.0
5298,TZ,2008,24171.0
